Forename,Surname,Name (Display As),Name (List As),Party,Constituency,Address 1,Address 2,Postcode,Email
Diane,Abbott,Ms Diane Abbott,"Abbott, Ms Diane",Labour,Hackney North and Stoke Newington,House of Commons,London,SW1A 0AA,diane.abbott.office@parliament.uk
Jack,Abbott,Jack Abbott,"Abbott, Jack",Labour (Co-op),Ipswich,House of Commons,London,SW1A 0AA,jack.abbott.mp@parliament.uk
Debbie,Abrahams,Debbie Abrahams,"Abrahams, Debbie",Labour,Oldham East and Saddleworth,House of Commons,London,SW1A 0AA,abrahamsd@parliament.uk
Shockat,Adam,Shockat Adam,"Adam, Shockat",Independent,Leicester South,House of Commons,London,SW1A 0AA,shockat.adam.mp@parliament.uk
Zubir,Ahmed,Dr Zubir Ahmed,"Ahmed, Dr Zubir",Labour,Glasgow South West,House of Commons,London,SW1A 0AA,zubir.ahmed.mp@parliament.uk
Luke,Akehurst,Luke Akehurst,"Akehurst, Luke",Labour,North Durham,House of Commons,London,SW1A 0AA,luke.akehurst.mp@parliament.uk
Bayo,Alaba,Mr Bayo Alaba,"Alaba, Mr Bayo",Labour,Southend East and Rochford,House of Commons,London,SW1A 0AA,bayo.alaba.mp@parliament.uk
Dan,Aldridge,Dan Aldridge,"Aldridge, Dan",Labour,Weston-super-Mare,House of Commons,London,SW1A 0AA,daniel.aldridge.mp@parliament.uk
Douglas,Alexander,Mr Douglas Alexander,"Alexander, Mr Douglas",Labour (Co-op),Lothian East,House of Commons,London,SW1A 0AA,douglas.alexander.mp@parliament.uk
Heidi,Alexander,Heidi Alexander,"Alexander, Heidi",Labour,Swindon South,House of Commons,London,SW1A 0AA,heidi.alexander.mp@parliament.uk
Sadik,Al-Hassan,Sadik Al-Hassan,"Al-Hassan, Sadik",Labour,North Somerset,House of Commons,London,SW1A 0AA,sadik.alhassan.mp@parliament.uk
Rushanara,Ali,Rushanara Ali,"Ali, Rushanara",Labour,Bethnal Green and Stepney,House of Commons,London,SW1A 0AA,rushanara.ali.mp@parliament.uk
Tahir,Ali,Tahir Ali,"Ali, Tahir",Labour,Birmingham Hall Green and Moseley,House of Commons,London,SW1A 0AA,tahir.ali.mp@parliament.uk
Rosena,Allin-Khan,Dr Rosena Allin-Khan,"Allin-Khan, Dr Rosena",Labour,Tooting,House of Commons,London,SW1A 0AA,rosena.allinkhan.mp@parliament.uk
Jim,Allister,Jim Allister,"Allister, Jim",Traditional Unionist Voice,North Antrim,House of Commons,London,SW1A 0AA,jim.allister.mp@parliament.uk
Mike,Amesbury,Mike Amesbury,"Amesbury, Mike",Labour,Runcorn and Helsby,House of Commons,London,SW1A 0AA,mike.amesbury.mp@parliament.uk
Gideon,Amos,Mr Gideon Amos,"Amos, Mr Gideon",Liberal Democrat,Taunton and Wellington,House of Commons,London,SW1A 0AA,gideon.amos.mp@parliament.uk
Callum,Anderson,Callum Anderson,"Anderson, Callum",Labour,Buckingham and Bletchley,House of Commons,London,SW1A 0AA,callum.anderson.mp@parliament.uk
Fleur,Anderson,Fleur Anderson,"Anderson, Fleur",Labour,Putney,House of Commons,London,SW1A 0AA,fleur.anderson.mp@parliament.uk
Lee,Anderson,Lee Anderson,"Anderson, Lee",Reform UK,Ashfield,House of Commons,London,SW1A 0AA,lee.anderson.mp@parliament.uk
Stuart,Anderson,Stuart Anderson,"Anderson, Stuart",Conservative,South Shropshire,House of Commons,London,SW1A 0AA,stuart.anderson.mp@parliament.uk
Stuart,Andrew,Stuart Andrew,"Andrew, Stuart",Conservative,Daventry,House of Commons,London,SW1A 0AA,stuart.andrew.mp@parliament.uk
Tonia,Antoniazzi,Tonia Antoniazzi,"Antoniazzi, Tonia",Labour,Gower,House of Commons,London,SW1A 0AA,tonia.antoniazzi.mp@parliament.uk
Steff,Aquarone,Steff Aquarone,"Aquarone, Steff",Liberal Democrat,North Norfolk,House of Commons,London,SW1A 0AA,steff.aquarone.mp@parliament.uk
Edward,Argar,Edward Argar,"Argar, Edward",Conservative,Melton and Syston,House of Commons,London,SW1A 0AA,edward.argar.mp@parliament.uk
Scott,Arthur,Dr Scott Arthur,"Arthur, Dr Scott",Labour,Edinburgh South West,House of Commons,London,SW1A 0AA,scott.arthur.mp@parliament.uk
Jess,Asato,Jess Asato,"Asato, Jess",Labour,Lowestoft,House of Commons,London,SW1A 0AA,jess.asato.mp@parliament.uk
James,Asser,James Asser,"Asser, James",Labour,West Ham and Beckton,House of Commons,London,SW1A 0AA,james.asser.mp@parliament.uk
Jas,Athwal,Jas Athwal,"Athwal, Jas",Labour,Ilford South,House of Commons,London,SW1A 0AA,jas.athwal.mp@parliament.uk
Victoria,Atkins,Victoria Atkins,"Atkins, Victoria",Conservative,Louth and Horncastle,House of Commons,London,SW1A 0AA,Victoria@victoriaatkins.org.uk
Catherine,Atkinson,Catherine Atkinson,"Atkinson, Catherine",Labour,Derby North,House of Commons,London,SW1A 0AA,catherine.atkinson.mp@parliament.uk
Lewis,Atkinson,Lewis Atkinson,"Atkinson, Lewis",Labour,Sunderland Central,House of Commons,London,SW1A 0AA,lewis.atkinson.mp@parliament.uk
Josh,Babarinde,Josh Babarinde,"Babarinde, Josh",Liberal Democrat,Eastbourne,House of Commons,London,SW1A 0AA,josh.babarinde.mp@parliament.uk
Gareth,Bacon,Gareth Bacon,"Bacon, Gareth",Conservative,Orpington,House of Commons,London,SW1A 0AA,gareth.bacon.mp@parliament.uk
Kemi,Badenoch,Mrs Kemi Badenoch,"Badenoch, Mrs Kemi",Conservative,North West Essex,House of Commons,London,SW1A 0AA,kemi.badenoch.mp@parliament.uk
Calvin,Bailey,Mr Calvin Bailey,"Bailey, Mr Calvin",Labour,Leyton and Wanstead,House of Commons,London,SW1A 0AA,calvin.bailey.mp@parliament.uk
Olivia,Bailey,Olivia Bailey,"Bailey, Olivia",Labour,Reading West and Mid Berkshire,House of Commons,London,SW1A 0AA,olivia.bailey.mp@parliament.uk
David,Baines,David Baines,"Baines, David",Labour,St Helens North,House of Commons,London,SW1A 0AA,david.baines.mp@parliament.uk
Alex,Baker,Alex Baker,"Baker, Alex",Labour,Aldershot,House of Commons,London,SW1A 0AA,alex.baker.mp@parliament.uk
Richard,Baker,Richard Baker,"Baker, Richard",Labour,Glenrothes and Mid Fife,House of Commons,London,SW1A 0AA,richard.baker.mp@parliament.uk
Harriett,Baldwin,Dame Harriett Baldwin,"Baldwin, Dame Harriett",Conservative,West Worcestershire,House of Commons,London,SW1A 0AA,harriett.baldwin.mp@parliament.uk
